ID,Number,r1,r2,r3,r4,r5,Starting time,Frequency
B073,1037,Janakpuri,South Extension,Dwarka,Defence Colony,Connaught Place,07:30 AM,10
B074,1037,Janakpuri,South Extension,Dwarka,Defence Colony,Connaught Place,09:30 AM,15
B075,1038,South Extension,Dwarka,Defence Colony,Patel Nagar,Saket,06:45 AM,30
B076,1038,South Extension,Dwarka,Defence Colony,Patel Nagar,Saket,08:45 AM,20
B077,1039,Dwarka,Defence Colony,Patel Nagar,Hauz Khas,Vasant Vihar,07:00 AM,10
B078,1039,Dwarka,Defence Colony,Patel Nagar,Hauz Khas,Vasant Vihar,09:00 AM,15
B079,1040,Defence Colony,Patel Nagar,Hauz Khas,Saket,South Extension,08:00 AM,30
B080,1040,Defence Colony,Patel Nagar,Hauz Khas,Saket,South Extension,10:00 AM,20
B081,1041,Patel Nagar,Hauz Khas,Saket,Rohini,Defence Colony,07:30 AM,10
B082,1041,Patel Nagar,Hauz Khas,Saket,Rohini,Defence Colony,09:30 AM,15
B083,1042,Hauz Khas,Saket,Rohini,Mayur Vihar,Janakpuri,07:15 AM,30
B084,1042,Hauz Khas,Saket,Rohini,Mayur Vihar,Janakpuri,09:15 AM,20
B085,1043,Saket,Rohini,Mayur Vihar,Janakpuri,South Extension,07:00 AM,10
B086,1043,Saket,Rohini,Mayur Vihar,Janakpuri,South Extension,09:00 AM,15
B087,1044,Rohini,Mayur Vihar,Janakpuri,South Extension,Defence Colony,08:30 AM,30
B088,1044,Rohini,Mayur Vihar,Janakpuri,South Extension,Defence Colony,10:30 AM,20
B089,1045,Mayur Vihar,Janakpuri,South Extension,Defence Colony,Dwarka,06:00 AM,10
B090,1045,Mayur Vihar,Janakpuri,South Extension,Defence Colony,Dwarka,08:00 AM,15
B091,1046,Janakpuri,South Extension,Defence Colony,Dwarka,Saket,07:15 AM,30
B092,1046,Janakpuri,South Extension,Defence Colony,Dwarka,Saket,09:15 AM,20
B093,1047,South Extension,Defence Colony,Dwarka,Patel Nagar,Hauz Khas,06:45 AM,10
B094,1047,South Extension,Defence Colony,Dwarka,Patel Nagar,Hauz Khas,08:45 AM,5
B095,1048,Defence Colony,Dwarka,Patel Nagar,Hauz Khas,Saket,07:30 AM,30
B096,1048,Defence Colony,Dwarka,Patel Nagar,Hauz Khas,Saket,09:30 AM,20
B097,1049,Dwarka,Patel Nagar,Hauz Khas,Saket,Rohini,07:00 AM,10
B098,1049,Dwarka,Patel Nagar,Hauz Khas,Saket,Rohini,09:00 AM,15
B099,1050,Patel Nagar,Hauz Khas,Saket,Defence Colony,South Extension,08:00 AM,30
B100,1050,Patel Nagar,Hauz Khas,Saket,Defence Colony,South Extension,10:00 AM,20
