RouteID,Mon(6-9),Mon(9-12),Mon(12-3),Mon(2-6),Mon(6-9).1,Tue(6-9),Tue(9-12),Tue(12-3),Tue(2-6),Tue(6-9).1,Wed(6-9),Wed(9-12),Wed(12-3),Wed(2-6),Wed(6-9).1,Thu(6-9),Thu(9-12),Thu(12-3),Thu(2-6),Thu(6-9).1,Fri(6-9),Fri(9-12),Fri(12-3),Fri(2-6),Fri(6-9).1,Sat(6-9),Distance,City 1,City 2,Bus Stop,Train Station,Micro Mobility,Average_Travel_Time,Predicted_Travel_Time
RT042,62,39,30,26,48,58,38,30,25,45,60,37,29,24,47,64,43,34,28,49,62,41,32,27,54,69,7,Preet Vihar,Laxmi Nagar,1,0,1,42.3461538461539,43.9092436751791
RT043,63,40,32,27,49,59,38,31,26,44,61,40,33,28,46,64,43,34,28,50,62,41,34,28,53,70,5,Karol Bagh,Paharganj,1,0,0,43.2307692307692,44.1733114150098
RT044,68,45,36,32,53,62,42,34,30,48,64,43,36,30,52,69,47,39,32,56,68,46,38,32,59,76,7,Sadar Bazaar,Chandni Chowk,1,0,0,47.5769230769231,48.6193676746935
RT045,66,44,35,30,51,60,39,32,28,47,62,41,34,27,48,67,45,37,30,52,64,43,35,30,56,72,6,Ashok Vihar,Model Town,1,0,0,45.1923076923077,45.0530183402748
RT046,67,46,37,32,52,62,40,34,29,48,63,42,35,30,50,68,46,39,31,54,67,45,38,32,58,75,8,Najafgarh,Palam,1,0,0,46.9230769230769,45.9076092068149
RT047,64,41,32,26,48,58,37,30,27,44,61,39,31,25,47,64,43,34,29,50,62,41,34,29,54,72,5,Mayur Vihar,Akshardham,1,0,0,43.1538461538462,43.9671227284578
RT048,63,40,31,26,47,57,38,30,27,45,60,37,30,24,48,64,42,34,29,49,62,41,34,28,53,71,7,Vikaspuri,Janakpuri,1,0,0,42.6923076923077,43.6814314220653
RT049,65,43,34,30,49,59,39,32,28,46,63,40,34,29,50,67,45,37,31,52,66,44,36,31,54,72,9,Shahdara,Dilshad Garden,1,0,1,45.2307692307692,45.8944850921396
RT050,67,45,36,31,52,62,40,34,29,48,64,42,35,30,51,67,46,39,32,56,68,45,37,33,59,76,6,Uttam Nagar,Dwarka,1,0,0,47.0769230769231,47.0489795854452
RT051,64,41,32,27,48,57,38,30,26,45,60,39,30,25,47,64,42,33,27,50,61,41,33,28,54,71,8,Patel Nagar,Ramesh Nagar,1,0,0,42.8076923076923,44.4675875645748
RT052,68,44,35,30,51,63,42,34,29,46,64,41,34,29,52,69,47,38,32,54,67,45,37,32,58,76,7,Sarita Vihar,Jasola,1,0,0,46.8076923076923,45.16143434062111
